Country,Region,C02
Zimbabwe,Africa,9428
Tunisia,Africa,25878
Sudan,Africa,14173
South Africa,Africa,460124
Nigeria,Africa,78910
Morocco,Africa,50608
Libya,Africa,59035
Kenya,Africa,12427
Ghana,Africa,8999
Egypt. Arab Rep.,Africa,204776
Angola,Africa,30418
Algeria,Africa,123475
Vietnam,Asia,150230
Uzbekistan,Asia,104443
Turkmenistan,Asia,53054
Thailand,Asia,295282
Sri Lanka,Asia,12710
Singapore,Asia,13520
Philippines,Asia,81591
Pakistan,Asia,161396
Myanmar,Asia,8995
Mongolia,Asia,11511
Malaysia,Asia,216804
Korea. Rep.,Asia,567567
Korea. Dem. Rep.,Asia,71624
Kazakhstan,Asia,248729
Japan,Asia,1170715
Indonesia,Asia,433989
India,Asia,2008823
Hong Kong SAR. China,Asia,36289
China,Asia,8286892
Brunei Darussalam,Asia,9160
Bangladesh,Asia,56153
Azerbaijan,Asia,45731
Afghanistan,Asia,8236
United Kingdom,Europe,493505
Ukraine,Europe,304805
Turkey,Europe,298002
Switzerland,Europe,38757
Sweden,Europe,52515
Spain,Europe,269675
Slovenia,Europe,15328
Slovak Republic,Europe,36094
Serbia,Europe,45962
Russian Federation,Europe,1740776
Romania,Europe,78745
Portugal,Europe,52361
Poland,Europe,317254
Norway,Europe,57187
Netherlands,Europe,182078
Macedonia. FYR,Europe,10873
Luxembourg,Europe,10829
Lithuania,Europe,13561
Italy,Europe,406307
Ireland,Europe,40000
Hungary,Europe,50583
Greece,Europe,86717
Germany,Europe,745384
France,Europe,361273
Finland,Europe,61844
Estonia,Europe,18339
Denmark,Europe,46303
Czech Republic,Europe,111752
Croatia,Europe,20884
Bulgaria,Europe,44679
Bosnia and Herzegovina,Europe,31125
Belgium,Europe,108947
Belarus,Europe,62222
Austria,Europe,66897
Yemen. Rep.,Middle East,21852
United Arab Emirates,Middle East,167597
Syrian Arab Republic,Middle East,61859
Saudi Arabia,Middle East,464481
Qatar,Middle East,70531
Oman,Middle East,57202
Lebanon,Middle East,20403
Kuwait,Middle East,93696
Jordan,Middle East,20821
Israel,Middle East,70656
Iraq,Middle East,114667
Iran. Islamic Rep.,Middle East,571612
Bahrain,Middle East,24202
New Zealand,Oceania,31551
Australia,Oceania,373081
Venezuela. RB,The Americas,201747
United States,The Americas,5433057
Trinidad and Tobago,The Americas,50682
Peru,The Americas,57579
Panama,The Americas,9633
Mexico,The Americas,443674
Guatemala,The Americas,11118
Ecuador,The Americas,32636
Dominican Republic,The Americas,20964
Cuba,The Americas,38364
Colombia,The Americas,75680
Chile,The Americas,72258
Canada,The Americas,499137
Brazil,The Americas,419754
Bolivia,The Americas,15456
Argentina,The Americas,180512